Number_of_Riders,Number_of_Drivers,Location_Category,Customer_Loyalty_Status,Number_of_Past_Rides,Average_Ratings,Time_of_Booking,Vehicle_Type,Expected_Ride_Duration,Historical_Cost_of_Ride,Predicted_XGB_Price,Predicted_LGB_Price,Simulated_Revenue_XGB,Simulated_Revenue_LGB
83,14,2,1,80,4.77,3,1,64,295.5887110300315,294.25446,291.9132468214742,294.25446,291.9132468214742
44,17,0,1,15,4.0,1,0,98,353.33854512223814,301.4279,265.69168185840596,301.4279,265.69168185840596
91,73,2,0,61,4.39,3,0,15,62.25429041832141,62.313534,63.50713949937656,62.313534,63.50713949937656
54,16,1,1,8,4.5,0,1,67,266.0685899337195,265.58554,251.02429100689807,265.58554,251.02429100689807
59,37,0,2,86,4.67,3,1,95,340.1282671016029,340.79434,342.3410463045733,340.79434,342.3410463045733
72,43,1,0,28,4.87,0,0,132,443.258155352454,446.5141,447.649012299494,446.5141,447.649012299494
47,9,0,0,49,4.44,1,0,96,265.05527443495566,285.19925,267.9163708971388,285.19925,267.9163708971388
32,22,0,2,49,4.65,3,0,60,221.4343854791753,191.87314,207.025486918787,191.87314,207.025486918787
45,13,0,1,96,4.84,3,0,112,393.2308288248255,390.30765,374.4948355433755,390.30765,374.4948355433755
72,45,2,2,82,4.42,3,1,40,151.58040412487964,183.68393,165.20210193759434,183.68393,165.20210193759434
56,15,2,0,34,4.72,3,1,78,313.9950046053331,309.97754,317.0134021576163,309.97754,317.0134021576163
42,22,0,2,67,3.81,0,1,82,366.1515260551269,360.31866,363.05415169657016,360.31866,363.05415169657016
52,14,1,2,87,3.54,0,1,98,425.97356882411634,424.8578,407.8162922632639,424.8578,407.8162922632639
81,23,2,0,39,4.3,1,0,143,359.0531279855558,387.0886,390.00562902927055,387.0886,390.00562902927055
77,25,0,1,70,4.27,0,1,52,260.34417984860374,245.9556,249.26695232685236,245.9556,249.26695232685236
27,6,2,0,2,4.42,3,0,86,320.30170917475425,317.93347,295.3524881963329,317.93347,295.3524881963329
74,34,0,1,18,4.66,2,1,140,454.49212153190336,466.3816,467.36657984784443,466.3816,467.36657984784443
92,69,2,2,88,4.69,0,0,18,45.11502370436019,56.546833,56.22354020350559,56.546833,56.22354020350559
77,34,0,0,33,4.13,3,1,48,223.6621142931812,222.77417,219.67811251144153,222.77417,219.67811251144153
66,6,0,1,23,4.2,1,0,45,173.1577542620492,164.02617,170.69376101892365,164.02617,170.69376101892365
77,39,2,1,23,4.29,2,0,167,592.240499627505,595.02673,590.103104036431,595.02673,590.103104036431
35,16,2,1,31,4.75,0,1,113,379.3078104185831,380.41342,377.45935754239247,380.41342,377.45935754239247
48,38,0,0,40,3.7,1,1,80,360.7111703191874,356.20135,361.47000100404387,356.20135,361.47000100404387
61,18,0,0,84,3.93,1,1,58,203.49261837786293,216.6443,202.36333152466955,216.6443,202.36333152466955
71,21,1,2,82,4.88,0,1,126,553.5451307734787,547.46735,556.0351304065854,547.46735,556.0351304065854
95,7,0,0,40,4.68,1,0,95,283.46644254307614,283.88596,285.76965008292177,283.88596,285.76965008292177
76,44,1,0,20,3.56,0,1,105,435.14534513079855,432.84238,435.38351494842595,432.84238,435.38351494842595
32,13,1,1,21,4.64,0,0,156,685.7681264991488,625.68805,655.9786501401086,625.68805,655.9786501401086
49,30,0,2,57,4.83,1,0,154,630.8608868741742,632.0852,620.3718556496482,632.0852,620.3718556496482
38,17,2,2,92,4.41,0,1,138,546.1568747653598,544.6838,541.6461947461736,544.6838,541.6461947461736
92,35,1,1,46,4.72,2,0,45,115.35700254441711,114.60912,121.20535543431976,114.60912,121.20535543431976
40,29,1,2,26,4.26,3,0,152,404.0498951423794,415.33878,425.5904605587208,415.33878,425.5904605587208
55,42,1,2,24,4.49,0,0,45,156.03832988580584,159.38184,163.29320015113635,159.38184,163.29320015113635
58,34,0,0,19,4.55,2,1,131,501.26295506529306,500.93643,500.5206676106225,500.93643,500.5206676106225
34,5,2,1,26,4.85,1,1,152,562.4369764527329,556.6183,546.8164061786706,556.6183,546.8164061786706
70,47,1,2,3,3.66,2,1,53,216.8024750869831,218.33875,234.22309421761088,218.33875,234.22309421761088
51,24,0,0,25,4.68,0,1,16,120.09069016935676,118.05452,113.84200809662121,118.05452,113.84200809662121
88,56,0,1,11,4.36,0,0,60,221.1576532597614,221.06389,225.75453308484492,221.06389,225.75453308484492
25,8,1,2,83,3.53,1,0,121,492.7012709061221,365.20242,380.1386811099123,365.20242,380.1386811099123
34,19,0,1,51,4.2,3,1,166,754.2344800100251,734.1317,742.4056033238237,734.1317,742.4056033238237
40,15,2,1,90,3.62,3,1,42,211.52772882563164,211.57849,213.65821704544638,211.57849,213.65821704544638
26,7,1,0,58,4.91,0,0,161,460.75927538572495,597.8274,583.0466327527635,597.8274,583.0466327527635
81,42,1,1,88,4.14,0,0,47,164.10747354764283,167.35062,168.62754680521442,167.35062,168.62754680521442
80,56,1,0,63,4.57,3,1,43,213.6962129956236,212.85504,209.26305613102377,212.85504,209.26305613102377
64,19,0,0,86,4.68,3,1,171,732.9893961300692,732.0376,731.3541004099853,732.0376,731.3541004099853
45,18,0,0,68,4.07,2,0,136,350.6012026111729,364.00607,374.50246693765513,364.00607,374.50246693765513
84,49,2,1,32,4.25,3,1,53,192.8798062051633,196.97073,190.52936428708816,196.97073,190.52936428708816
34,16,2,2,47,4.12,1,0,93,294.11580585015537,297.0519,302.8533898843186,297.0519,302.8533898843186
67,32,1,1,40,4.47,0,1,13,82.52418774801069,82.385765,80.59916425225235,82.385765,80.59916425225235
93,23,1,2,34,4.23,1,1,125,386.169069413996,393.45453,392.06840838656933,393.45453,392.06840838656933
100,51,2,2,56,3.58,3,0,89,310.9003272621974,310.34897,294.60118539472614,310.34897,294.60118539472614
35,22,1,0,15,4.23,2,1,120,373.96284065200393,437.25348,448.99468144600655,437.25348,448.99468144600655
36,13,0,2,31,4.71,3,0,71,221.5511001313172,228.51237,223.56073070010993,228.51237,223.56073070010993
28,18,1,1,100,3.7,0,0,127,531.1127009643968,528.7366,511.6883818290317,528.7366,511.6883818290317
21,9,2,0,10,3.88,2,1,108,324.9426389036563,328.2759,340.2022147156472,328.2759,340.2022147156472
26,15,2,1,35,5.0,2,1,161,493.4068923175674,491.9415,497.5089829276434,491.9415,497.5089829276434
97,21,1,1,59,3.87,1,1,174,778.6333560141928,772.1094,741.9236641342221,772.1094,741.9236641342221
26,15,2,2,10,3.71,2,1,171,720.1572085631501,719.194,685.4785180940288,719.194,685.4785180940288
91,56,2,0,17,4.66,3,0,10,38.23523523879646,38.179882,38.732759549903975,38.179882,38.732759549903975
65,48,0,2,12,4.37,0,1,140,573.5891064527985,571.7306,569.529971560327,571.7306,569.529971560327
88,28,2,0,22,4.99,3,1,154,682.016246966075,678.3905,666.849599254192,678.3905,666.849599254192
82,13,1,0,32,3.58,3,0,148,516.4367273015673,516.0556,511.1016667078483,516.0556,511.1016667078483
65,40,2,2,48,3.59,1,0,121,492.5196024192815,484.57874,476.11790600952145,484.57874,476.11790600952145
41,6,2,2,56,4.32,3,0,11,49.234784001519046,48.916794,48.88922668312945,48.916794,48.88922668312945
85,36,0,2,64,4.32,1,0,152,506.6928860981053,518.1807,515.1092473288458,518.1807,515.1092473288458
35,13,0,2,80,3.8,0,0,93,304.3133394836575,303.68463,304.7340492034499,303.68463,304.7340492034499
83,29,2,2,78,4.42,0,1,23,111.179341237614,114.58184,121.72367570354159,114.58184,121.72367570354159
91,31,2,1,12,4.39,3,0,39,163.21458328772866,143.42195,167.41007312510942,143.42195,167.41007312510942
44,28,0,1,31,4.92,3,1,132,402.856989480614,475.07742,457.767493986927,475.07742,457.767493986927
96,12,1,0,15,4.97,3,0,90,289.2351908680133,287.76907,279.34453424654833,287.76907,279.34453424654833
77,46,1,1,97,4.2,0,1,25,150.53929481479082,142.54597,153.6651483148521,142.54597,153.6651483148521
91,80,0,0,74,4.74,3,0,46,194.93555934032696,194.44908,180.25853384122638,194.44908,180.25853384122638
93,42,0,2,75,4.66,2,0,160,674.6485035775572,673.32025,671.0951983807788,673.32025,671.0951983807788
41,9,0,2,73,3.51,2,0,150,551.5572340398235,553.4823,559.1991151207051,553.4823,559.1991151207051
61,44,1,1,69,4.54,0,0,52,132.2147645898824,136.90167,141.14065314298867,136.90167,141.14065314298867
83,10,2,0,28,3.91,0,0,23,70.11182411078714,70.45714,76.4427796121645,70.45714,76.4427796121645
59,22,0,1,79,4.38,2,1,93,346.2847096470098,351.28442,349.124048952369,351.28442,349.124048952369
42,31,1,0,62,4.95,3,1,13,102.04473025177862,102.3271,104.00701775247752,102.3271,104.00701775247752
81,16,1,1,73,4.89,3,0,125,494.1401793052489,494.37955,486.4589313686891,494.37955,486.4589313686891
72,19,0,0,89,4.74,2,1,45,183.658314681842,186.25117,186.8236540867133,186.25117,186.8236540867133
43,9,0,2,2,4.12,2,0,126,436.5576476487414,439.21365,433.8372744261586,439.21365,433.8372744261586
74,33,2,2,82,4.13,0,0,10,31.362081322241885,29.913427,28.031070881771154,29.913427,28.031070881771154
68,45,0,2,65,4.19,1,0,112,323.4791093139413,326.61084,321.6914944633382,326.61084,321.6914944633382
36,13,2,2,84,4.88,1,1,140,505.3840569466695,501.96878,511.5300505811061,501.96878,511.5300505811061
51,5,2,0,0,4.59,0,1,92,320.8576215627125,322.19296,340.9285045372812,322.19296,340.9285045372812
63,23,2,2,48,4.09,1,0,49,214.5660524456202,211.15405,214.8232919889409,211.15405,214.8232919889409
96,29,2,1,84,3.65,3,0,176,758.5015334295354,759.78754,754.2090375483183,759.78754,754.2090375483183
94,59,1,1,84,4.38,2,1,175,665.7295341217325,669.6917,675.8571938896188,669.6917,675.8571938896188
74,32,1,1,2,4.7,1,1,38,171.06636292972274,169.6382,165.59678761454649,169.6382,165.59678761454649
91,13,0,2,32,3.6,2,1,160,647.3526381087524,586.85004,585.3378348607723,586.85004,585.3378348607723
69,12,1,1,42,4.34,0,1,158,608.1282399929386,606.7264,608.119811523441,606.7264,608.119811523441
51,20,0,2,57,3.68,3,0,67,246.92292493661097,254.38918,249.1943035236311,254.38918,249.1943035236311
45,17,0,0,10,4.93,3,1,148,430.0665305032927,436.6422,448.897255681886,436.6422,448.897255681886
92,34,1,1,98,3.99,3,0,140,396.6387527092545,402.929,416.6183135528601,402.929,416.6183135528601
69,36,1,0,55,4.74,2,0,109,436.0114486061054,431.12534,434.26426558678736,431.12534,434.26426558678736
56,14,1,2,30,3.67,3,0,48,202.9454568505992,198.80905,202.21120688457268,198.80905,202.21120688457268
43,26,0,1,59,4.91,0,0,175,731.7816872483901,730.5116,746.9965629879573,730.5116,746.9965629879573
86,48,2,2,37,4.15,3,0,84,216.05054809363543,223.19643,221.31694098115668,223.19643,221.31694098115668
61,34,2,0,82,3.99,3,1,10,83.86835620425342,84.96796,84.22189067501853,84.96796,84.22189067501853
50,36,1,0,18,4.61,3,0,145,572.2420492964254,537.8792,549.7033474638934,537.8792,549.7033474638934
73,34,2,1,95,4.31,2,1,21,118.8070474355678,118.70647,118.93773289966111,118.70647,118.93773289966111
76,7,2,0,76,4.35,2,0,72,245.8935711917164,246.73433,251.1346383836111,246.73433,251.1346383836111
87,41,2,1,87,4.36,3,0,87,387.1117403297744,381.43967,380.59309149323707,381.43967,380.59309149323707
53,33,0,1,40,3.8,2,1,139,507.9505746530285,506.68304,509.12183447068014,506.68304,509.12183447068014
71,8,1,2,57,3.68,3,0,75,249.302974601016,250.7444,251.14601214500206,250.7444,251.14601214500206
32,5,0,0,80,3.55,3,0,14,45.91711193197189,55.43392,48.02235447526261,55.43392,48.02235447526261
91,30,1,0,34,3.69,0,0,96,424.6120578300381,426.476,424.6323227834466,426.476,424.6323227834466
47,37,1,0,64,3.75,2,0,31,85.97357530080251,85.20228,86.68353883905343,85.20228,86.68353883905343
23,13,0,2,42,4.55,3,0,87,328.9669925908357,325.68713,321.23488311585305,325.68713,321.23488311585305
57,20,0,1,92,3.74,2,0,53,172.62943414987132,177.13832,174.44994058326802,177.13832,174.44994058326802
48,17,1,2,2,4.09,1,0,85,261.9435328532634,266.26138,270.18656253329783,266.26138,270.18656253329783
22,5,2,0,39,4.92,1,0,56,199.0416803252397,198.57588,184.85471094207102,198.57588,184.85471094207102
60,19,2,2,37,4.22,1,0,68,232.2834549147445,238.80916,239.74065819442978,238.80916,239.74065819442978
94,42,0,1,0,4.23,2,1,36,185.311838106628,183.22949,182.4477484270659,183.22949,182.4477484270659
43,6,1,2,34,4.4,2,1,24,153.76143970087224,152.78261,148.3025239542553,152.78261,148.3025239542553
97,18,1,1,53,4.25,3,1,26,126.4771352873347,150.93877,150.79084236616652,150.93877,150.79084236616652
47,17,0,2,7,4.8,2,0,173,609.5038276051239,611.5178,611.3692485956861,611.5178,611.3692485956861
39,28,2,2,72,3.76,0,1,87,287.1624375675698,292.9124,302.4430974292974,292.9124,302.4430974292974
50,39,1,1,94,3.81,1,1,139,406.32480651562713,415.90677,431.7164430731781,415.90677,431.7164430731781
35,17,2,1,78,4.4,1,1,61,249.03711265544783,249.05046,249.6555838430473,249.05046,249.6555838430473
28,8,1,1,69,3.86,1,1,175,620.9016915662245,623.18085,629.0521173358186,623.18085,629.0521173358186
51,32,0,1,98,4.44,2,1,51,267.0607016773296,265.32153,266.1436776774166,265.32153,266.1436776774166
54,12,1,2,84,4.98,1,1,172,715.7547930992089,714.54205,703.3298309873792,714.54205,703.3298309873792
65,10,2,1,77,4.36,0,0,170,430.385487919734,438.92322,451.6424546997694,438.92322,451.6424546997694
61,26,0,0,21,3.85,2,1,126,604.273047008686,585.84656,579.5299548751501,585.84656,579.5299548751501
46,9,1,2,67,4.22,1,1,47,243.5250631593867,237.35324,242.860460489328,237.35324,242.860460489328
73,50,2,1,7,4.22,3,0,45,176.2144067384048,176.21938,175.67001308477717,176.21938,175.67001308477717
86,49,2,1,99,3.51,3,0,130,471.4796320940979,468.68323,456.61948272055207,468.68323,456.61948272055207
75,7,1,0,100,4.13,2,0,134,453.3769493913552,450.08417,441.322900932738,450.08417,441.322900932738
39,29,1,2,12,4.24,1,0,97,251.1073064574406,345.2395,333.6936241829251,345.2395,333.6936241829251
33,6,0,0,90,4.81,3,1,139,521.8019208244536,513.8747,495.27932116208905,513.8747,495.27932116208905
40,29,1,2,6,4.94,3,1,71,346.4926515319707,343.34427,339.55531308469057,343.34427,339.55531308469057
54,35,1,2,66,4.4,3,0,77,234.0714535105622,235.37874,231.9252667396794,235.37874,231.9252667396794
53,26,2,0,54,4.6,3,1,52,184.0244513007148,194.48471,186.3464175583206,194.48471,186.3464175583206
81,34,2,2,98,3.55,0,1,164,554.8869659163038,555.6602,543.6871893165087,555.6602,543.6871893165087
45,20,2,1,80,4.73,2,0,63,192.61977241404605,190.4776,191.00957149942874,190.4776,191.00957149942874
20,9,2,2,77,3.91,1,0,89,227.796524806166,231.22964,245.2413905357636,231.22964,245.2413905357636
47,22,0,2,11,4.8,0,1,119,416.601648993299,425.40793,427.1604053180855,425.40793,427.1604053180855
33,18,2,0,90,3.61,1,1,146,671.7128294096442,664.37555,642.405247289704,664.37555,642.405247289704
78,57,0,2,5,4.82,2,1,127,552.6397714448676,477.52933,539.7173505379833,477.52933,539.7173505379833
26,12,0,2,9,3.75,0,0,115,321.37240510655704,354.58878,331.3162445301909,354.58878,331.3162445301909
62,21,0,1,61,4.57,3,0,56,215.4338699200544,168.0159,189.37527771029676,168.0159,189.37527771029676
84,59,1,2,67,4.27,2,1,164,758.9961232252967,751.72174,738.4443472047377,751.72174,738.4443472047377
49,8,2,1,1,4.06,0,1,157,694.4247148756359,687.8998,670.6846545004385,687.8998,670.6846545004385
34,22,1,0,34,3.64,2,0,176,617.3632185255483,717.0816,671.8860195182792,717.0816,671.8860195182792
49,30,0,2,86,3.62,0,1,69,328.63536897966003,326.14096,325.43824552967527,326.14096,325.43824552967527
83,50,0,1,7,3.66,1,1,100,376.3000600585162,371.52286,394.804844001854,371.52286,394.804844001854
88,5,2,2,89,3.59,3,0,27,70.20380336705749,70.1329,74.41061399866949,70.1329,74.41061399866949
90,71,1,0,88,3.84,2,0,167,451.6848649701074,451.99298,474.0023695982836,451.99298,474.0023695982836
65,5,0,2,24,3.54,3,0,119,301.40392677127403,408.40814,428.51627323014856,408.40814,428.51627323014856
73,28,2,2,22,4.57,0,0,53,153.39607111804412,153.445,155.42065902127413,153.445,155.42065902127413
85,62,1,2,54,3.78,2,0,114,339.66230419418656,340.00055,344.328978716386,340.00055,344.328978716386
65,27,0,0,62,3.54,3,1,162,733.4425366578176,585.1168,651.9022582722682,585.1168,651.9022582722682
74,42,2,0,88,3.5,1,0,77,203.8363809804033,207.2443,215.11218379581962,207.2443,215.11218379581962
41,7,0,0,68,4.3,1,1,66,284.5088586099128,281.97034,276.47017826319023,281.97034,276.47017826319023
79,23,2,0,88,3.88,3,0,164,492.1134583590864,494.8021,493.39029169379825,494.8021,493.39029169379825
53,7,2,2,64,4.55,3,1,10,86.19117981050438,86.69122,87.63451736120602,86.69122,87.63451736120602
35,14,2,2,74,5.0,3,1,175,727.8809447636283,725.8726,723.6553193505262,725.8726,723.6553193505262
53,40,0,0,79,3.66,1,1,30,158.65264164620277,158.82106,169.46374295535153,158.82106,169.46374295535153
36,23,2,2,42,4.66,2,0,14,44.52503661261306,45.724636,44.52558624511124,45.724636,44.52558624511124
38,25,2,1,2,4.24,2,1,128,452.4258268814717,454.99097,468.49611914345473,454.99097,468.49611914345473
52,36,0,2,1,4.52,2,1,36,152.64047921471024,156.30003,171.46639167408148,156.30003,171.46639167408148
91,64,1,1,26,4.56,2,1,96,420.2245689053783,415.5764,405.55909708785225,415.5764,405.55909708785225
87,5,2,2,59,4.32,3,0,42,151.35930066309265,152.91325,152.76197772634896,152.91325,152.76197772634896
96,20,1,0,88,3.6,1,1,71,242.27196569085137,245.96486,261.1914175144657,245.96486,261.1914175144657
83,59,2,0,8,4.85,2,0,31,119.0485543701777,118.49099,116.45889166383328,118.49099,116.45889166383328
48,23,0,0,0,4.46,0,0,174,472.56954081275165,704.8631,710.7245654413493,704.8631,710.7245654413493
65,19,1,2,24,4.59,1,0,96,334.6493506052282,334.87668,331.46466908679395,334.87668,331.46466908679395
79,29,1,2,0,4.86,2,0,127,406.0855256604135,432.03363,466.8996971952231,432.03363,466.8996971952231
100,22,1,2,45,4.23,3,1,141,551.365137615676,549.1934,542.854912108934,549.1934,542.854912108934
73,63,1,2,25,4.19,0,0,129,534.0181945871103,532.9707,527.0499232787673,532.9707,527.0499232787673
79,67,0,0,56,4.01,1,1,151,501.2363000548165,502.44043,525.2706659242043,502.44043,525.2706659242043
88,55,0,1,56,4.0,3,1,26,159.60691863182956,159.66812,156.56589283287718,159.66812,156.56589283287718
76,34,1,2,10,4.92,2,0,103,359.8010509571677,362.9412,361.8726858058377,362.9412,361.8726858058377
49,30,1,2,80,3.74,3,0,85,348.6695624527248,342.30972,336.67248010016675,342.30972,336.67248010016675
100,64,0,1,7,4.89,3,1,115,490.5040759704239,393.39407,457.5699832037281,393.39407,457.5699832037281
87,26,0,0,63,4.2,2,1,118,485.683239513509,487.27774,488.6310766884949,487.27774,488.6310766884949
22,5,0,2,93,4.85,1,0,99,424.9275101964327,426.22665,423.54432290342976,426.22665,423.54432290342976
21,11,0,2,23,3.76,0,0,12,40.442890652890384,53.820087,72.41478610846066,53.820087,72.41478610846066
93,57,1,1,34,4.89,2,1,80,258.424915281181,258.98294,267.3173116829293,258.98294,267.3173116829293
28,15,0,0,90,4.25,3,1,177,511.929390993806,519.2109,589.0513468186724,519.2109,589.0513468186724
97,7,2,2,22,3.74,0,1,147,441.74670095471794,443.9957,460.5932107159731,443.9957,460.5932107159731
48,12,2,2,51,4.63,3,1,32,175.5180543386476,173.66907,173.49528969295656,173.66907,173.49528969295656
70,37,2,2,10,3.65,3,1,168,658.5834276725151,660.91003,661.4034603311113,660.91003,661.4034603311113
78,12,0,2,99,4.3,0,0,95,299.2909931126892,301.28055,305.3508913696819,301.28055,305.3508913696819
